Item ID,Country,Date,Price,Sales
A,Germany,1/1/2018,1,25
A,Sweden,1/2/2018,2,26
A,France,1/3/2018,3,2
A,Austria,1/4/2018,4,3
A,Hngary,1/5/2018,5,4
A,Finland,1/6/2018,6,5
A,UK,1/7/2018,7,6
A,Germany,1/8/2018,8,7
A,Sweden,1/9/2018,9,8
A,France,1/10/2018,10,9
A,Austria,1/11/2018,11,10
A,Hngary,1/12/2018,12,11
A,Finland,1/13/2018,13,12
A,UK,1/14/2018,14,13
A,Germany,1/15/2018,15,1
A,Sweden,1/16/2018,16,2
A,France,1/17/2018,17,3
A,Austria,1/18/2018,18,4
A,Hngary,1/19/2018,19,5
A,Finland,1/20/2018,20,6
A,UK,1/21/2018,21,7
A,Germany,1/22/2018,22,8
A,Sweden,1/23/2018,23,9
A,France,1/24/2018,24,10
A,Austria,1/25/2018,25,11
A,Hngary,1/26/2018,26,12
A,Finland,1/27/2018,2,13
A,UK,1/28/2018,3,14
A,Germany,1/29/2018,4,15
A,Sweden,1/30/2018,5,16
A,France,1/31/2018,6,17
A,Austria,2/1/2018,7,16
A,Hngary,2/2/2018,8,17
A,Finland,2/3/2018,9,18
A,UK,2/4/2018,10,19
A,Germany,2/5/2018,11,20
A,Sweden,2/6/2018,12,21
A,France,2/7/2018,13,22
A,Austria,2/8/2018,6.142857143,23
A,Hngary,2/9/2018,5.535714286,24
A,Finland,2/10/2018,4.928571429,25
A,UK,2/11/2018,4.321428571,26
A,Germany,2/12/2018,3.714285714,2
A,Sweden,2/13/2018,3.107142857,3
A,France,2/14/2018,2.5,4
A,Austria,1/1/2018,1.892857143,5
A,Germany,1/2/2018,1.285714286,6
A,Sweden,1/3/2018,0.6785714286,7
A,France,1/4/2018,0.07142857143,8
A,Austria,1/5/2018,25,9
A,Hngary,1/6/2018,26,10
B,Finland,1/7/2018,2,25
B,UK,1/8/2018,3,26
B,Germany,1/9/2018,4,2
B,Sweden,1/10/2018,5,3
B,France,1/11/2018,6,4
B,Austria,1/12/2018,7,5
B,Germany,1/13/2018,8,6
B,Sweden,1/14/2018,9,7
B,France,1/15/2018,10,8
B,Austria,1/16/2018,11,9
B,Hngary,1/17/2018,12,10
B,Finland,1/18/2018,13,11
B,UK,1/19/2018,6.142857143,12
B,Germany,1/20/2018,5.535714286,13
